ind/benchmarks-dti/hipspec/sg/rev-equiv-goal7, 0:00.08, 0.08, 0.00, Proved
ind/benchmarks-dti/hipspec/sg/nichomachus-goal4, 2:00.01, 120.23, 0.85, Unknown
ind/benchmarks-dti/hipspec/sg/rotate-goal4, 2:00.00, 120.52, 1.26, Unknown
ind/benchmarks-dti/hipspec/sg/nichomachus-goal3, 2:00.01, 120.46, 1.29, Unknown
ind/benchmarks-dti/hipspec/sg/rotate-goal8, 0:00.14, 0.13, 0.00, Proved
ind/benchmarks-dti/hipspec/sg/nichomachus-goal8, 2:00.02, 119.98, 1.00, Unknown
ind/benchmarks-dti/hipspec/sg/rev-equiv-goal6, 0:00.09, 0.07, 0.00, Proved
ind/benchmarks-dti/hipspec/sg/nichomachus-goal7, 2:00.00, 119.87, 0.79, Unknown
ind/benchmarks-dti/hipspec/sg/nichomachus-goal9, 2:00.02, 119.79, 0.88, Unknown
ind/benchmarks-dti/hipspec/sg/nichomachus-goal6, 2:00.03, 119.58, 0.76, Unknown
ind/benchmarks-dti/hipspec/sg/nichomachus-goal5, 2:00.01, 117.63, 2.44, Unknown
ind/benchmarks-dti/hipspec/sg/nichomachus-goal2, 0:06.74, 6.62, 0.15, Proved
ind/benchmarks-dti/hipspec/sg/rotate-goal7, 2:00.00, 120.51, 1.23, Unknown
ind/benchmarks-dti/hipspec/sg/rev-equiv-goal3, 0:00.08, 0.07, 0.00, Proved
ind/benchmarks-dti/hipspec/sg/rev-equiv-goal8, 0:00.43, 0.43, 0.01, Proved
ind/benchmarks-dti/hipspec/rev-equiv-goal2, 0:00.07, 0.07, 0.00, Proved
ind/benchmarks-dti/hipspec/rotate-goal6, 2:00.00, 120.13, 0.83, Unknown
ind/benchmarks-dti/hipspec/rotate-goal3, 0:04.61, 4.55, 0.06, Unknown
ind/benchmarks-dti/hipspec/rotate-goal5, 0:00.13, 0.12, 0.00, Proved
ind/benchmarks-dti/hipspec/rev-equiv-goal3, 2:00.00, 120.42, 0.70, Unknown
ind/benchmarks-dti/hipspec/rev-equiv-goal8, 2:00.00, 120.96, 2.03, Unknown
ind/benchmarks-dti/isaplanner/goal78, 0:00.11, 0.11, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal14, 0:00.26, 0.26, 0.01, Proved
ind/benchmarks-dti/isaplanner/goal4, 0:00.11, 0.11, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal50, 2:00.00, 121.02, 1.44, Unknown
ind/benchmarks-dti/isaplanner/goal40, 0:00.19, 0.18, 0.01, Proved
ind/benchmarks-dti/isaplanner/goal29, 0:01.20, 1.18, 0.02, Proved
ind/benchmarks-dti/isaplanner/goal79, 1:07.16, 67.56, 1.06, Unknown
ind/benchmarks-dti/isaplanner/goal58, 0:07.35, 7.33, 0.02, Unknown
ind/benchmarks-dti/isaplanner/goal52, 2:00.00, 120.75, 1.43, Unknown
ind/benchmarks-dti/isaplanner/goal44, 0:00.09, 0.00, 0.00, Unknown
ind/benchmarks-dti/isaplanner/goal12, 0:03.83, 3.82, 0.02, Unknown
ind/benchmarks-dti/isaplanner/goal20, 2:00.00, 121.10, 1.98, Unknown
ind/benchmarks-dti/isaplanner/goal34, 0:00.12, 0.12, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal74, 2:00.00, 120.47, 0.67, Unknown
ind/benchmarks-dti/isaplanner/goal3, 0:04.21, 4.19, 0.04, Proved
ind/benchmarks-dti/isaplanner/goal51, 2:00.00, 121.09, 2.05, Unknown
